                                    Reporte de Prueba de Spotify Ordenado por Titulo
========================================================================================================================
                                            Titulo                                           Artista
                                    Lonely No More                                        Rob Thomas
                                   Lonely Together                                            Avicii
                                        Look Alive                                        BlocBoy JB
                                    Look At Me Now                                       Chris Brown
                                   Look Back at It                            A Boogie Wit da Hoodie
                                Look Right Through                                       Storm Queen
                          Look What You Made Me Do                                      Taylor Swift
                                      Lose Control                                     Missy Elliott
                                    Lose My Breath                                   Destiny's Child
                                     Lose Yourself                                            Eminem
                            Lose Yourself to Dance                                         Daft Punk
                                              Lost                                       Frank Ocean
                                  Lost Without You                                     Delta Goodrem
                                  Lost in the Fire                                     Gesaffelstein
                                            Louder                                          DJ Fresh
                                              Love                                   Musiq Soulchild
                                              Love                                      Keyshia Cole
                           Love Don't Cost a Thing                                    Jennifer Lopez
                                        Love Drunk                                   Boys Like Girls
                                   Love Generation                                       Bob Sinclar
                                         Love Lies                                            Khalid
                                     Love Lockdown                                        Kanye West
                                     Love Lockdown                                        Kanye West
                                      Love Machine                                       Girls Aloud
                                           Love Me                                         Lil Wayne
                                     Love Me Again                                       John Newman
                                    Love Me Harder                                     Ariana Grande
                                    Love Me Harder                                     Ariana Grande
                               Love Me Like You Do                                    Ellie Goulding
                                     Love Runs Out                                       OneRepublic
                                    Love Sex Magic                                             Ciara
                                        Love Story                                      Taylor Swift
                              Love The Way You Lie                                            Eminem
                                        Love Today                                              MIKA
                         Love You Like A Love Song                          Selena Gomez & The Scene
                                     Love Yourself                                     Justin Bieber
                               Love at First Sight                                     Kylie Minogue
                                 Love in This Club                                             Usher
                                          LoveGame                                         Lady Gaga
                                        LoveStoned                                 Justin Timberlake
                                          Loverboy                                      Mariah Carey
                                Lovers And Friends                      Lil Jon & The East Side Boyz
                                 Lovers on the Sun                                      David Guetta
                                   Lovin' Each Day                                     Ronan Keating
                                               Low                                          Flo Rida
                                          Low Life                                            Future
                                             Loyal                                       Chris Brown
                                      Lucid Dreams                                        Juice WRLD
                                             Lucky                                    Britney Spears
                                         Lush Life                                      Zara Larsson
                                     Lust for Life                                      Lana Del Rey
                                      Luv U Better                                         LL Cool J
                                               MIA                                         Bad Bunny
                                      MIDDLE CHILD                                           J. Cole
                                               Mad                                                Ne
                                          Mad Love                                             Mabel
                                         Mad World                                        Gary Jules
                                             Magic                                             B.o.B
                                       Magic Stick                                          Lil' Kim
                                          Magnolia                                     Playboi Carti
                                      Make It Rain                                           Fat Joe
                                          Make Luv                                            Room 5
                                    Make Me Better                                          Fabolous
                                   Makes Me Wonder                                          Maroon 5
                                              Mama                                        Jonas Blue
                                           Mama Do                                        Pixie Lott
                                          Man Down                                           Rihanna
                                   Man Of The Year                                       ScHoolboy Q
                                     Man's Not Hot                                          Big Shaq
                                             Mandy                                          Westlife
                                          Maneater                                     Nelly Furtado
                                              Maps                                          Maroon 5
                                       Maria Maria                                           Santana
                                         Marry You                                        Bruno Mars
                                          Mask Off                                            Future
                                            Me & U                                            Cassie
                                   Me - Myself & I                                                 G
                                 Me - Myself and I                                           Beyonce
                              Me Against the Music                                    Britney Spears
                            Me And My Broken Heart                                            Rixton
                                          Me Niego                                              Reik
                                     Meant to Live                                        Switchfoot
                                   Meet Me Halfway                                   Black Eyed Peas
                                          Memories                                      David Guetta
                                             Mercy                                             Duffy
                                             Mercy                                        Kanye West
                                             Mercy                                      Shawn Mendes
                                         Mesmerize                                           Ja Rule
                                          Mi Gente                                          J Balvin
                                     Miami 2 Ibiza                               Swedish House Mafia
                                            Middle                                          DJ Snake
                               Middle Of The Night                                         The Vamps
                                     Midnight City                                               M83
                                         Milkshake                                             Kelis
                                    Million Voices                                        Otto Knows
                                       Millionaire                                             Kelis
                                              Mine                                             Bazzi
                                           Mirrors                                 Justin Timberlake
                                            Misery                                          Maroon 5
                                   Misery Business                                          Paramore
                                  Miss Independent                                    Kelly Clarkson
                                  Miss Independent                                                Ne
                                          Miss You                                           Aaliyah
                                          Miss You                                      Cashmere Cat
                                       Missing You                                              Case
                                          Mo Bamba                                         Sheck Wes
                                       Mockingbird                                            Eminem
                                             Money                                           Cardi B
                                Money In The Grave                                             Drake
                                       Money Maker                                          Ludacris
                                  Money On My Mind                                         Sam Smith
                                           Monster                                           Skillet
                                         Moonlight                                      XXXTENTACION
                                              More                                             Usher
                                 More Than A Woman                                           Aaliyah
                                More Than You Know                                Axwell /\ Ingrosso
                                        Most Girls                                              P!nk
                                        Motivation                                     Kelly Rowland
                                        Motivation                                           Normani
                                        MotorSport                                             Migos
                                        Move Bitch                              Disturbing Tha Peace
                                      Move Ya Body                                          Nina Sky
                                    Move Your Body                                         Eiffel 65
                                    Move Your Feet                                     Junior Senior
                                 Moves Like Jagger                                          Maroon 5
                                      Mr. Saxobeat                                    Alexandra Stan
                                       Ms. Jackson                                           Outkast
                                     Ms. New Booty                                     Bubba Sparxxx
                                Mundian to Bach Ke                                        Panjabi MC
                          Murder On The Dancefloor                                      Sophie Ellis
                                             Music                                           Madonna
                                             Music                                      Erick Sermon
                                           My Band                                               D12
                                            My Boo                                             Usher
                                      My Chick Bad                                          Ludacris
                                     My First Kiss                                             3OH!3
                                   My Happy Ending                                     Avril Lavigne
                                          My House                                          Flo Rida
                                          My House                                          Flo Rida
                                          My Humps                                   Black Eyed Peas
                                       My Immortal                                       Evanescence
                                           My Life                                          The Game
                    My Life Would Suck Without You                                    Kelly Clarkson
                                           My Love                                          Westlife
                                           My Love                                 Justin Timberlake
                                           My Love                                 Justin Timberlake
                                           My Love                                          Route 94
                              My Love Is Like...Wo                                              Maya
                                          My My My                                 Armand Van Helden
                                 My Neck - My Back                                              Khia
                                          My Place                                             Nelly
                                    My Prerogative                                    Britney Spears
                                      My Sacrifice                                             Creed
            My Songs Know What You Did In The Dark                                      Fall Out Boy
                                           My Type                                          Saweetie
                                            My Way                                         Fetty Wap
                                            My Way                                     Calvin Harris
                                                NO                                    Meghan Trainor
                                              NUMB                                      Hayden James
                                             Na Na                                        Trey Songz
                                             Na Na                                        Trey Songz
                                             Naive                                         The Kooks
                                        Nasty Girl                              The Notorious B.I.G.
                                           Natural                                   Imagine Dragons
                                         Naturally                          Selena Gomez & The Scene
                                      Naughty Girl                                           Beyonce
                                            Need U                                       Duke Dumont
                                      Need You Now                                            Lady A
                                         Needed Me                                           Rihanna
                                           Nessaja                                           Scooter
                                 Never Be Like You                                             Flume
                           Never Be The Same Again                                         Melanie C
                                 Never Be the Same                                    Camila Cabello
                                  Never Forget You                                      Zara Larsson
                                  Never Forget You                                              MNEK
                                   Never Leave You                                           Lumidee
                                   Never Say Never                                          The Fray
                                         Nevermind                                      Dennis Lloyd
                                        New Divide                                       Linkin Park
                                         New Flame                                       Chris Brown
                                         New Rules                                          Dua Lipa
                                   Ni**as In Paris                                               JAY
                                     Nice For What                                             Drake
                                     Night Changes                                     One Direction
                                  Nights Like This                                           Kehlani
                             Nine Million Bicycles                                       Katie Melua
                                        No Brainer                                         DJ Khaled
                                          No Hands                                 Waka Flocka Flame
                                          No Hands                                 Waka Flocka Flame
                                     No Letting Go                                      Wayne Wonder
                                            No Lie                                         Sean Paul
                                          No Limit                                                 G
                                          No Money                                          Galantis
                                           No More                                         Ruff Endz
                                           No More                                               3LW
                                     No More Drama                                     Mary J. Blige
                                            No One                                       Alicia Keys
                                       No Promises                                       Shayne Ward
                                       No Promises                                       Cheat Codes
                                       No Tomorrow                                             Orson
                                           No Type                                      Rae Sremmurd
                                    Nobody To Love                                             Sigma
                         Nobody Wants to Be Lonely                                      Ricky Martin
                                     Nobody's Home                                     Avril Lavigne
                                           Nonstop                                             Drake
                                        Not Afraid                                            Eminem
                                          Not Fair                                        Lily Allen
                                       Not In Love                                  Enrique Iglesias
                                          Not Nice                                     PARTYNEXTDOOR
                                           Nothin'                                          N.O.R.E.
                                    Nothin' on You                                             B.o.B
                       Nothing Breaks Like a Heart                                       Mark Ronson
                                   Now You're Gone                                        Basshunter
                                           Nu Flow                                        Big Brovaz
                                              Numb                                       Linkin Park
                                     Numb / Encore                                               JAY
                                          Number 1                                    Tinchy Stryder
                                               OMG                                             Usher
                                          Oblivion                                            Grimes
                                          Obsessed                                      Mariah Carey
                                      Of The Night                                          Bastille
                                                Oh                                             Ciara
                                            Oh Boy                                            Camron
                                     Old Town Road                                         Lil Nas X
                                     Old Town Road                                         Lil Nas X
                                              Omen                                       The Prodigy
                                         On A Roll                                          Ashley O
                                           On Fire                                       Lloyd Banks
                                        On My Mind                                    Ellie Goulding
                                      On The Floor                                    Jennifer Lopez
                                    On the Hotline                                      Pretty Ricky
                                               One                                     Mary J. Blige
                                               One                               Swedish House Mafia
                                     One Call Away                                            Chingy
                                         One Dance                                             Drake
                          One Day / Reckoning Song                           Asaf Avidan & the Mojos
                                          One Kiss                                     Calvin Harris
                                   One Last Breath                                             Creed
                                     One Last Time                                     Ariana Grande
                                          One Love                                              Blue
                                    One Minute Man                                     Missy Elliott
                                    One More Night                                          Maroon 5
                                     One More Time                                         Daft Punk
                                One Step At a Time                                     Jordin Sparks
                                   One Thing Right                                        Marshmello
                                          One Time                                     Justin Bieber
                                One Way or Another                                     One Direction
                                          One Wish                                             Ray J
                                         Only Girl                                           Rihanna
                                        Only Human                                    Jonas Brothers
                      Only Love Can Hurt Like This                                      Paloma Faith
                                         Only Time                                              Enya
                                            Only U                                           Ashanti
                                              Oops                                             Tweet
                            Oops!...I Did It Again                                    Britney Spears
                                           Ophelia                                     The Lumineers
                                           Options                                               NSG
                                         Otherside                             Red Hot Chili Peppers
                                        Otro Trago                                              Sech
                                      Out Of Reach                                         Gabrielle
                                           Outside                                     Calvin Harris
                                     Outta Control                                           50 Cent
                                   Outta My System                                           Bow Wow
                                              Over                                             Drake
                                     Over And Over                                             Nelly
                               Overnight Celebrity                                            Twista
                                     Overprotected                                    Britney Spears
                                          P.I.M.P.                                           50 Cent
                                        PILLOWTALK                                              ZAYN
                                             Panda                                         Desiigner
                                            Panini                                         Lil Nas X
                                         Papaoutai                                           Stromae
                                         Paparazzi                                         Lady Gaga
                                      Paper Planes                                            M.I.A.
                                         Papercuts                                              Illy
                                          Paradise                                          Coldplay
                                          Paradise                                          Coldplay
                                         Paralyzer                                     Finger Eleven
                                         Paralyzer                                     Finger Eleven
                                             Paris                                  The Chainsmokers
                                        Part Of Me                                        Katy Perry
                               Party In The U.S.A.                                       Miley Cyrus
                            Party Like A Rock Star                                         Shop Boyz
                                 Party Rock Anthem                                             LMFAO
                                          Party Up                                               DMX
                                          Pass Out                                      Tinie Tempah
                      Pass The Courvoisier Part II                                      Busta Rhymes
                                      Passionfruit                                             Drake
                                          Patience                                         Take That
                                          Patience                                         Take That
                                          Payphone                                          Maroon 5
                                   Peaches & Cream                                               112
                                           Perfect                                     One Direction
                                           Perfect                                        Ed Sheeran
                                 Perfect Strangers                                        Jonas Blue
                                        Photograph                                        Nickelback
                               Piece Of Your Heart                                            MEDUZA
                                       Piece of Me                                    Britney Spears
                                      Pieces Of Me                                    Ashlee Simpson
                                      Pink + White                                       Frank Ocean
                                            Pjanoo                                        Eric Prydz
                                        Plain Jane                                         A$AP Ferg
                                              Play                                    Jennifer Lopez
                                              Play                                      David Banner
                                         Play Hard                                      David Guetta
                                   Please Don't Go                                        Joel Adams
                                         Please Me                                           Cardi B
                                         Plug Walk                                      Rich The Kid
                             Pocketful of Sunshine                               Natasha Bedingfield
                                     Point Of View                                      DB Boulevard
                                        Poker Face                                         Lady Gaga
                                           Pompeii                                          Bastille
                                     Pon de Replay                                           Rihanna
                              Pop - Lock & Drop It                                              Huey
                                           Pop Out                                            Polo G
                                         Pop Style                                             Drake
                                     Pop Ya Collar                                             Usher
                                       Post Malone                                         Sam Feldt
                                        Post to Be                                           Omarion
                                   Pound The Alarm                                       Nicki Minaj
                                        Power Trip                                           J. Cole
                                        Powerglide                                      Rae Sremmurd
                                       Pray For Me                                        The Weeknd
                                       Prayer in C                          Lilly Wood and The Prick
                                       Pretty Girl                                  Maggie Lindemann
                                  Pretty Girl Rock                                       Keri Hilson
                                 Pretty Green Eyes                                         Ultrabeat
                                         Price Tag                                          Jessie J
                                        Primadonna                                            MARINA
                                 Princess of China                                          Coldplay
                                           Problem                                     Ariana Grande
                                       Promiscuous                                     Nelly Furtado
                                           Promise                                       Jagged Edge
                                           Promise                                             Ciara
                                Propane Nightmares                                          Pendulum
                                  Proper Education                                        Eric Prydz
                                            Psycho                                       Post Malone
                                   Pullin' Me Back                                            Chingy
                                           Pump It                                   Black Eyed Peas
                                   Pumped Up Kicks                                 Foster The People
                                       Pure Shores                                        All Saints
                                        Pure Water                                           Mustard
                                      Purple Pills                                               D12
                                   Push The Button                                         Sugababes
                                            Put On                                             Jeezy
                              Put That Woman First                                            Jaheim
                     Put Your Hands Up For Detroit                                    Fedde Le Grand
                     Put Your Hands Up for Detroit                                    Fedde Le Grand
                                            R.I.P.                                          Rita Ora
                                         Rack City                                              Tyga
                                             Radio                                   Robbie Williams
                                       Radioactive                                   Imagine Dragons
                                        Rain On Me                                           Ashanti
                                        Rainy Dayz                                     Mary J. Blige
                                  Raise Your Glass                                              P!nk
                                        Rake It Up                                          Yo Gotti
                                            Ransom                                         Lil Tecca
                                           Rapture                                               iio
                                         Rather Be                                      Clean Bandit
                                 Read All About It                                   Professor Green
                       Read All About It - Pt. III                                       Emeli Sande
                                    Read Your Mind                                             Avant
                               Ready For Your Love                                       Gorgon City
                                      Ready or Not                                   Bridgit Mendler
                                        Red Lights                                            Tiesto
                                   Reggaeton Lento                                              CNCO
                                             Rehab                                     Amy Winehouse
                                        Release Me                                             Agnes
                                            Reload                                Sebastian Ingrosso
                                 Remember the Name                                        Fort Minor
                                         Renegades                                     X Ambassadors
                                         Renegades                                     X Ambassadors
                                            Replay                                              Iyaz
                                          Reptilia                                       The Strokes
                                    Ric Flair Drip                                            Offset
                                         Rich Girl                                      Gwen Stefani
                                         Rich Love                                       OneRepublic
                                              Ride                                      Lana Del Rey
                                              Ride                                 Twenty One Pilots
                                           Ride It                                            Regard
                                       Ride Wit Me                                             Nelly
                                            Ridin'                                    Chamillionaire
                                       Ridin' Solo                                      Jason Derulo
                                    Right Above It                                         Lil Wayne
                                         Right Now                                              Akon
                                       Right Round                                          Flo Rida
                                       Right Thurr                                            Chingy
                                           Riptide                                         Vance Joy
                                              Rise                                         Gabrielle
                                              Rise                                         Gabrielle
                                              Rise                                        Jonas Blue
                                       Rise & Fall                                       Craig David
                                             River                                            Eminem
                                         Riverside                                     Sidney Samson
                                              Roar                                        Katy Perry
                                           Robbery                                        Juice WRLD
                                           Rock DJ                                   Robbie Williams
                                     Rock The Boat                                           Aaliyah
                                   Rock This Party                                       Bob Sinclar
                                        Rock Wit U                                           Ashanti
                                    Rock Your Body                                 Justin Timberlake
                                          Rockabye                                      Clean Bandit
                                         Rocketeer                                 Far East Movement
                                 Rockin' That Shit                                               The
                                          Rockstar                                        Nickelback
                                             Rolex                                         Ayo & Teo
                                           Roll Up                                       Wiz Khalifa
                                           Rollin'                                       Limp Bizkit
                               Rolling in the Deep                                             Adele
                                           Rollout                                          Ludacris
                                             Romeo                                     Basement Jaxx
                                             Roses                                  The Chainsmokers
                                       Round Round                                         Sugababes
                                            Royals                                             Lorde
                                              Ruby                                     Kaiser Chiefs
                                              Rude                                            MAGIC!
                                          Rude Boy                                           Rihanna
                                    Rule The World                                         Take That
                                     Rumour Has It                                             Adele
                                               Run                                       Leona Lewis
                                           Run It!                                       Chris Brown
                                     Run This Town                                               JAY
                                           Runaway                                          Galantis
                                      Runaway Love                                          Ludacris
                                  Russian Roulette                                           Rihanna
                                               S&M                                           Rihanna
                                              SAD!                                      XXXTENTACION
                                        SICKO MODE                                      Travis Scott
                                        SICKO MODE                                      Travis Scott
                                               SOS                                           Rihanna
                                               SOS                                            Avicii
                                   SUBEME LA RADIO                                  Enrique Iglesias
                                    Safe And Sound                                    Capital Cities
                                              Sail                                        AWOLNATION
                                       Salt Shaker                                   Ying Yang Twins
                                     Same Old Love                                      Selena Gomez
                                     Same Old Love                                      Selena Gomez
                                         Sandstorm                                            Darude
                                      Satisfaction                                     Benny Benassi
                                    Save That Shit                                          Lil Peep
                                    Save The World                               Swedish House Mafia
                                         Savin' Me                                        Nickelback
                                           Say Aah                                        Trey Songz
                                            Say It                                        Tory Lanez
                                            Say It                                             Flume
                                      Say It Right                                     Nelly Furtado
